time,grid_size,block_size,threads_used,solutions,max_depth
10.248,16,4,46,80,3
0.0119998,9,3,48,1,3
8.547,16,4,48,80,3
0.0109999,9,3,1,1,3
19.111,16,4,1,80,3
0.00999999,9,3,2,1,3
28.219,16,4,2,80,3
0.0110002,9,3,4,1,3
24.11,16,4,4,80,3
0.00900006,9,3,6,1,3
29.901,16,4,6,80,3
0.013,9,3,8,1,3
26.722,16,4,8,80,3
0.0119998,9,3,10,1,3
17.377,16,4,10,80,3
0.0109999,9,3,12,1,3
16.224,16,4,12,80,3
0.00699997,9,3,14,1,3
15.763,16,4,14,80,3
0.0120001,9,3,16,1,3
12.568,16,4,16,80,3
0.0110002,9,3,18,1,3
16.208,16,4,18,80,3
0.0079999,9,3,20,1,3
16.117,16,4,20,80,3
0.00999999,9,3,22,1,3
13.599,16,4,22,80,3
0.013,9,3,24,1,3
10.732,16,4,24,80,3
0.00999999,9,3,26,1,3
13.544,16,4,26,80,3
0.0109999,9,3,28,1,3
12.88,16,4,28,80,3
0.0120001,9,3,30,1,3
8.163,16,4,30,80,3
0.0140002,9,3,32,1,3
10.064,16,4,32,80,3
0.0120001,9,3,34,1,3
17.466,16,4,34,80,3
0.0120001,9,3,36,1,3
17.149,16,4,36,80,3
0.013,9,3,38,1,3
8.754,16,4,38,80,3
0.00999999,9,3,40,1,3
11.219,16,4,40,80,3
0.0120001,9,3,42,1,3
9.31,16,4,42,80,3
0.00900006,9,3,44,1,3
12.626,16,4,44,80,3
0.00999999,9,3,46,1,3
14.19,16,4,46,80,3
0.0109999,9,3,48,1,3
9.181,16,4,48,80,3
0.00600004,9,3,1,1,3
20.761,16,4,1,80,3
0.00600004,9,3,2,1,3
36.253,16,4,2,80,3
0.0079999,9,3,4,1,3
19.529,16,4,4,80,3
0.00699997,9,3,6,1,3
19.247,16,4,6,80,3
0.0110002,9,3,8,1,3
22.558,16,4,8,80,3
0.0120001,9,3,10,1,3
12.318,16,4,10,80,3
0.00900006,9,3,12,1,3
12.438,16,4,12,80,3
0.0119998,9,3,14,1,3
15.662,16,4,14,80,3
0.00999999,9,3,16,1,3
12.889,16,4,16,80,3
0.00999999,9,3,18,1,3
15.908,16,4,18,80,3
0.00800014,9,3,20,1,3
10.298,16,4,20,80,3
0.00999999,9,3,22,1,3
16.385,16,4,22,80,3
0.0119998,9,3,24,1,3
9.257,16,4,24,80,3
0.013,9,3,26,1,3
17.671,16,4,26,80,3
0.013,9,3,28,1,3
15.243,16,4,28,80,3
0.00999999,9,3,30,1,3
9.565,16,4,30,80,3
0.0129998,9,3,32,1,3
10.432,16,4,32,80,3
0.00999999,9,3,34,1,3
14.13,16,4,34,80,3
0.0120001,9,3,36,1,3
12.406,16,4,36,80,3
0.013,9,3,38,1,3
9.877,16,4,38,80,3
0.0120001,9,3,40,1,3
16.742,16,4,40,80,3
0.013,9,3,42,1,3
16.376,16,4,42,80,3
0.00900006,9,3,44,1,3
15.519,16,4,44,80,3
0.013,9,3,46,1,3
14.304,16,4,46,80,3
0.0139999,9,3,48,1,3
9.709,16,4,48,80,3
0.00500011,9,3,1,1,3
20.38,16,4,1,80,3
0.0740001,9,3,2,1,3
34.267,16,4,2,80,3
0.0109999,9,3,4,1,3
25.796,16,4,4,80,3
0.00900006,9,3,6,1,3
26.744,16,4,6,80,3
0.00600004,9,3,8,1,3
23.689,16,4,8,80,3
0.00699997,9,3,10,1,3
12.716,16,4,10,80,3
0.02,9,3,12,1,3
